rec_id,rec_id2,GNAME,SNAME,STREET,ADD1,SUBURB,POST,STATE,DOB,AGE,PHONE,SOCID,label
rec-2597-org,rec-1296-dup-1,0.58,0.78,0.91,0,0.52,1,0.84,0,0,0,0,0
rec-1761-dup-0,rec-1670-org,0.66,0.6,0.65,0.61,0.64,0,0.79,0,0,0,0,0
rec-151-org,rec-151-dup-0,0.72,1,1,1,1,0,1,1,1,1,0,1
rec-521-org,rec-521-dup-1,0.75,1,0.91,1,1,0,0,1,1,1,0,1
rec-1796-org,rec-1796-dup-0,0.83,1,1,1,1,1,0.98,1,1,1,0,1
rec-305-org,rec-305-dup-0,0.86,1,1,0.98,1,1,1,0,1,0,0,1
rec-4836-org,rec-4836-dup-0,0.86,1,1,1,1,1,0.88,0,0,1,0,1
rec-326-org,rec-326-dup-0,0.87,0.96,0.82,1,1,1,1,1,1,1,0,1
rec-403-dup-0,rec-2737-org,0.9,0.65,0.7,0.61,0.64,0,0,0,0,0,0,0
rec-563-org,rec-563-dup-0,0.9,0.95,1,0.94,1,1,1,0,1,1,0,1
rec-2576-dup-1,rec-2576-dup-0,0.9,1,1,0.95,0.92,1,0.88,0,1,1,0,1
rec-767-org,rec-767-dup-0,0.91,0.9,1,0.97,1,1,0,1,0,1,0,1
rec-2042-org,rec-2042-dup-0,0.91,0.95,1,0,1,1,0,1,1,0,0,1
rec-3978-org,rec-3978-dup-0,0.91,1,0.6,0,1,0,1,1,1,0,0,1
rec-3862-org,rec-3862-dup-0,0.91,1,0.7,1,1,1,1,0,0,1,0,1
rec-2873-dup-1,rec-2379-org,0.92,0.73,0.65,0.69,0.64,1,0,0,0,0,0,0
rec-3618-org,rec-3618-dup-2,0.92,0.84,1,1,0.79,1,0.96,1,1,1,0,1
rec-2861-org,rec-2861-dup-0,0.92,0.94,1,1,1,0,0.97,0,1,1,0,1
rec-834-org,rec-834-dup-0,0.92,1,0.65,0.93,1,1,1,1,1,0,0,1
rec-3932-org,rec-3932-dup-0,0.92,1,0.65,1,0.83,1,0.96,0,1,1,0,1
rec-752-org,rec-752-dup-0,0.92,1,0.82,1,1,1,0,0,1,1,0,1
rec-58-org,rec-58-dup-0,0.92,1,1,0.94,1,0,0.91,0,1,1,0,1
rec-3277-org,rec-3277-dup-0,0.92,1,1,0.95,1,1,0.87,0,1,0,0,1
rec-3985-org,rec-3985-dup-1,0.92,1,1,1,1,1,0.82,1,1,1,0,1
rec-744-org,rec-1585-org,0.93,0.78,0,0.72,0.64,1,0.74,0,0,0,0,0
rec-1152-org,rec-1152-dup-0,0.93,0.91,1,1,1,1,1,0,0,1,0,1
rec-589-org,rec-589-dup-0,0.93,0.94,1,0.96,1,1,0,1,1,1,0,1
rec-379-org,rec-379-dup-0,0.93,0.96,0.82,1,1,1,0.96,1,0,1,0,1
rec-269-org,rec-269-dup-0,0.93,1,0,0.91,0.95,1,1,0,1,1,0,1
rec-660-org,rec-660-dup-0,0.93,1,0.82,0.94,1,0,1,1,1,1,0,1
rec-1996-org,rec-1996-dup-0,0.93,1,0.82,0.94,1,1,1,1,0,1,0,1
rec-2580-org,rec-2580-dup-0,0.93,1,0.91,1,0.88,1,1,1,1,1,0,1
rec-3207-org,rec-3207-dup-2,0.93,1,1,1,0.8,0,1,0,1,0,0,1
rec-912-org,rec-912-dup-0,0.93,1,1,1,0.83,1,1,1,1,0,0,1
rec-2088-dup-1,rec-1732-org,0.94,0.61,0,0.61,0.64,0,0.81,0,0,0,0,0
rec-258-org,rec-258-dup-0,0.94,0.87,1,1,1,1,0,0,1,1,0,1
rec-2799-dup-1,rec-2799-dup-0,0.94,0.91,1,0,0.89,0,0.93,0,1,0,0,1
rec-1993-org,rec-1993-dup-0,0.94,0.98,1,1,0.91,1,0.94,0,1,1,0,1
rec-1871-org,rec-1871-dup-0,0.94,1,0.82,1,1,1,0.93,1,1,1,0,1
rec-2595-org,rec-2595-dup-0,0.94,1,1,1,1,0,0.96,1,1,1,0,1
rec-375-org,rec-375-dup-1,0.94,1,1,1,1,1,0.96,1,0,1,0,1
rec-500-org,rec-500-dup-0,0.95,0.89,0.78,1,0.95,1,0.96,1,1,1,0,1
rec-4063-org,rec-4063-dup-0,0.95,1,0.82,0.97,1,1,0.91,1,1,1,0,1
rec-1218-org,rec-1218-dup-0,0.95,1,0.91,0,1,1,1,0,1,1,0,1
rec-2141-dup-2,rec-2141-dup-1,0.98,1,0.7,0,0.52,1,1,0,1,1,0,1
rec-944-org,rec-329-org,1,0.64,0.6,0.71,0.64,1,0.79,0,0,0,0,0
rec-787-dup-1,rec-787-dup-0,1,0.82,1,0.94,1,1,0.75,0,1,1,0,1
rec-1448-dup-1,rec-1448-dup-0,1,0.88,0.65,1,0.52,0,0.91,1,1,1,0,1
rec-3406-dup-2,rec-3406-dup-1,1,0.94,0.82,0,0.68,0,0,1,1,0,0,1
rec-1827-dup-0,rec-1495-dup-0,1,0.96,0.65,0.68,0.52,1,0.74,0,0,0,0,0
rec-2320-dup-1,rec-2320-dup-0,1,0.98,0.82,0.97,0.83,1,1,1,1,1,0,1
rec-2871-dup-2,rec-2871-dup-1,1,1,0,0.95,0.91,1,1,1,0,1,0,1
rec-1358-dup-1,rec-1358-dup-0,1,1,0.65,1,0.79,1,1,1,1,1,0,1
rec-791-dup-0,rec-2095-dup-0,0.51,0.84,0.58,0.7,0.64,1,0,0,0,0,0,0
rec-753-dup-1,rec-2691-org,0.57,0.66,0.65,0.77,0.52,1,0.81,0,0,0,0,0
rec-2176-org,rec-1681-dup-0,0.62,0,0.75,0.62,0.79,1,0,0,0,0,0,0
rec-361-dup-0,rec-1536-dup-0,0.66,0,0.65,0,0.79,1,0.79,0,0,0,0,0
rec-555-dup-0,rec-2089-org,0.66,0.67,0.88,0.62,0.64,1,0.88,0,0,0,0,0
rec-353-org,rec-353-dup-2,0.66,1,0.82,1,1,1,1,1,1,1,0,1
rec-1283-org,rec-1283-dup-0,0.67,1,0.65,1,1,1,0.96,0,1,1,0,1
rec-925-dup-1,rec-505-org,0.75,0.62,0.6,0.74,0.76,1,0.75,0,0,0,0,0
rec-6329-org,rec-6329-dup-0,0.75,0.93,0.93,0.98,1,1,1,1,0,0,0,1
rec-624-org,rec-624-dup-0,0.78,1,0,1,1,1,0,1,1,1,0,1
rec-2433-org,rec-2433-dup-0,0.78,1,1,1,1,0,1,1,1,0,0,1
rec-1991-org,rec-1991-dup-0,0.8,0.98,1,0.56,1,1,1,0,1,1,0,1
rec-414-org,rec-414-dup-0,0.8,1,0.82,1,0,1,0.93,1,1,1,0,1
rec-2728-org,rec-2728-dup-0,0.8,1,1,1,1,1,0.81,1,1,1,0,1
rec-2540-org,rec-2540-dup-2,0.8,1,1,1,1,1,0.96,0,1,1,0,1
rec-2676-org,rec-2676-dup-0,0.81,0,1,1,0.83,1,1,0,0,1,0,1
rec-4153-org,rec-4153-dup-0,0.83,1,0,1,0.76,1,1,1,1,1,0,1
rec-4057-org,rec-4057-dup-0,0.86,0.98,0.82,1,1,1,0,0,1,1,0,1
rec-2692-org,rec-2692-dup-0,0.86,1,0,1,0.89,1,0.91,1,0,1,0,1
rec-2378-org,rec-2378-dup-0,0.87,0.91,1,0.99,0.92,1,1,1,1,1,0,1
rec-11684-org,rec-11684-dup-0,0.88,1,0.75,1,1,1,1,1,1,1,0,1
rec-1931-org,rec-1931-dup-0,0.88,1,1,1,1,1,1,0,1,0,0,1
rec-548-org,rec-2576-org,0.89,1,0.65,0.65,0.52,1,0.81,0,0,0,0,0
rec-1075-dup-1,rec-1075-dup-0,0.89,1,0.7,0.99,1,1,1,1,1,0,0,1
rec-2798-org,rec-2798-dup-0,0.9,0.98,1,0,0.91,1,1,1,0,0,0,1
rec-3599-org,rec-3599-dup-0,0.9,1,1,0.66,1,1,1,1,1,0,0,1
rec-326-org,rec-326-dup-1,0.91,0.88,0.65,0,1,1,1,1,1,1,0,1
rec-431-org,rec-431-dup-0,0.91,0.98,1,0,1,1,0.96,0,1,1,0,1
rec-1745-org,rec-1745-dup-1,0.91,1,0.7,0.96,1,0,1,1,0,1,0,1
rec-159-org,rec-159-dup-0,0.91,1,0.82,1,0.5,1,0,0,1,1,0,1
rec-2995-org,rec-2995-dup-2,0.91,1,1,0.71,1,1,1,1,1,1,0,1
